player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
D.J. Campbell,IOL,3,3,3,6.0,6.0,5,7,,,,,3,Cincinnati Bengals,cincinnati-bengals
DJ Rogers,TE,3,3,3,7.0,7.0,7,7,,,,,3,Denver Broncos,denver-broncos
Dametrious Crownover,OT,3,3,3,3.6666666666666665,3.0,3,5,,,,,2,Philadelphia Eagles,philadelphia-eagles
Darrell Jackson Jr.,DL,3,3,3,3.3333333333333335,3.0,3,4,,,,,3,Baltimore Ravens,baltimore-ravens
De'Zhaun Stribling,WR,3,3,3,5.0,4.0,4,7,,,,,3,Baltimore Ravens,baltimore-ravens
Deontae Lawson,LB,3,3,3,3.3333333333333335,3.0,3,4,,,,,3,Denver Broncos,denver-broncos
Devin Moore,CB,3,3,2,3.0,3.0,3,3,,,,,3,Green Bay Packers,green-bay-packers
Devon Marshall,CB,3,3,3,4.666666666666667,5.0,4,5,,,,,3,Baltimore Ravens,baltimore-ravens
Emmanuel Pregnon,IOL,3,3,3,2.0,2.0,2,2,,,,,3,Las Vegas Raiders,las-vegas-raiders
Ephesians Prysock,CB,3,3,3,4.666666666666667,5.0,4,5,,,,,2,Philadelphia Eagles,philadelphia-eagles
Eric Rivers,WR,3,3,3,6.0,6.0,5,7,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Francis Mauigoa,OT,3,3,3,1.0,1.0,1,1,,,,,3,Arizona Cardinals,arizona-cardinals
Garrett Nussmeier,QB,3,3,2,3.3333333333333335,3.0,3,4,,,,,3,Carolina Panthers,carolina-panthers
Gennings Dunker,OT,3,3,3,2.0,2.0,2,2,,,,,1,Pittsburgh Steelers,pittsburgh-steelers
George Gumbs Jr.,EDGE,3,3,3,6.333333333333333,6.0,6,7,,,,,3,Baltimore Ravens,baltimore-ravens
Jaeden Roberts,IOL,3,3,3,6.0,6.0,5,7,,,,,3,Cincinnati Bengals,cincinnati-bengals
Jaishawn Barham,LB,3,3,3,3.3333333333333335,3.0,3,4,,,,,3,Miami Dolphins,miami-dolphins
Jalen Huskey,CB,3,3,3,7.0,7.0,7,7,,,,,3,Denver Broncos,denver-broncos
